InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSales
536520,21794,classic french style basket natural,1,12/1/2010 12:43,6.75,14729,United Kingdom,6.75
536521,22854,cream sweetheart egg holder,1,12/1/2010 12:48,4.95,12748,United Kingdom,4.95
536522,84997D,pink 3 piece polkadot cutlery set,1,12/1/2010 12:49,3.75,15012,United Kingdom,3.75
536523,22943,christmas lights 10 vintage baubles,6,12/1/2010 12:50,4.95,12868,United Kingdom,29.7
536524,21111,"swiss roll towel, chocolate  spots",6,12/1/2010 12:51,2.95,17572,United Kingdom,17.7
536525,21826,eight piece dinosaur set,2,12/1/2010 12:54,1.25,14078,United Kingdom,2.5
536526,21135,victorian  metal postcard spring,16,12/1/2010 12:58,1.69,14001,United Kingdom,27.04
536527,22809,set of 6 t-lights santa,6,12/1/2010 13:04,2.95,12662,Germany,17.7
536528,22815,card psychedelic apples,12,12/1/2010 13:17,0.42,15525,United Kingdom,5.04
536529,22222,cake plate lovebird white,3,12/1/2010 13:20,4.95,14237,United Kingdom,14.85
536530,22360,glass jar english confectionery,2,12/1/2010 13:21,2.95,17905,United Kingdom,5.9
536531,21519,gin & tonic diet greeting card,24,12/1/2010 13:23,0.42,15485,United Kingdom,10.08
536532,84692,box of 24 cocktail parasols,50,12/1/2010 13:24,0.42,12433,Norway,21
536533,20754,retrospot red washing up gloves,6,12/1/2010 13:31,2.1,16955,United Kingdom,12.6
536534,22866,hand warmer scotty dog design,12,12/1/2010 13:33,2.1,15350,United Kingdom,25.2
536535,22943,christmas lights 10 vintage baubles,3,12/1/2010 13:38,4.95,15605,United Kingdom,14.85
536536,21485,retrospot heart hot water bottle,3,12/1/2010 13:45,4.95,18144,United Kingdom,14.85
536537,22277,cosmetic bag vintage rose paisley,36,12/1/2010 13:51,2.1,15922,United Kingdom,75.6
536538,21466,red flower crochet food cover,1,12/1/2010 13:54,3.75,14594,United Kingdom,3.75
536539,22969,homemade jam scented candles,12,12/1/2010 14:03,1.45,15165,United Kingdom,17.4
536540,22968,rose cottage keepsake box,4,12/1/2010 14:05,9.95,14911,EIRE,39.8
536541,21915,red  harmonica in box,12,12/1/2010 14:05,1.25,14911,EIRE,15
536542,22382,lunch bag spaceboy design,10,12/1/2010 14:11,1.65,16456,United Kingdom,16.5
536543,22632,hand warmer red retrospot,-1,12/1/2010 14:30,2.1,17841,United Kingdom,-2.1
536548,22244,3 hook hanger magic garden,-4,12/1/2010 14:33,1.95,12472,Germany,-7.8
536551,84970L,single heart zinc t-light holder,1,12/1/2010 14:34,0.95,17346,United Kingdom,0.95
536556,22599,christmas musical zinc star,12,12/1/2010 14:38,0.85,17643,United Kingdom,10.2
536557,21495,skulls and crossbones wrap,25,12/1/2010 14:41,0.42,17841,United Kingdom,10.5
536559,84884A,ant white wire heart spiral,10,12/1/2010 14:54,3.95,17873,United Kingdom,39.5
536560,79321,chilli lights,48,12/1/2010 15:00,4.25,13093,United Kingdom,204
536561,22318,five heart hanging decoration,6,12/1/2010 15:06,2.95,12921,United Kingdom,17.7
536562,21777,recipe box with metal heart,2,12/1/2010 15:08,7.95,13468,United Kingdom,15.9
536563,85199S,small hanging ivory/red wood bird,72,12/1/2010 15:08,0.42,17760,United Kingdom,30.24
536564,37446,mini cake stand with hanging cakes,8,12/1/2010 15:08,1.45,13468,United Kingdom,11.6
536566,21668,red stripe ceramic drawer knob,6,12/1/2010 15:21,1.25,16928,United Kingdom,7.5
536567,22867,hand warmer bird design,24,12/1/2010 15:27,2.1,16048,United Kingdom,50.4
536568,22915,assorted bottle top  magnets,12,12/1/2010 15:28,0.42,16048,United Kingdom,5.04
536569,22171,3 hook photo shelf antique white,1,12/1/2010 15:35,8.5,16274,United Kingdom,8.5
536570,84836,zinc metal heart decoration,12,12/1/2010 15:35,1.25,14496,United Kingdom,15
536571,85032D,yuletide images gift wrap set,6,12/1/2010 15:37,2.1,14696,United Kingdom,12.6
536572,22589,cardholder gingham star,6,12/1/2010 15:40,2.55,16539,United Kingdom,15.3
536573,84755,colour glass t-light holder hanging,16,12/1/2010 15:45,0.65,17025,United Kingdom,10.4
536574,21756,bath building block word,3,12/1/2010 15:46,5.95,17025,United Kingdom,17.85
536575,21864,union jack flag passport cover,72,12/1/2010 16:01,1.69,13777,United Kingdom,121.68
536576,22041,"record frame 7"" single size",144,12/1/2010 16:11,2.1,13777,United Kingdom,302.4
536577,20725,lunch bag red retrospot,60,12/1/2010 16:13,1.45,13777,United Kingdom,87
536578,22837,hot water bottle babushka,12,12/1/2010 16:15,4.65,17690,United Kingdom,55.8
536579,21232,strawberry ceramic trinket box,216,12/1/2010 16:16,1.06,13777,United Kingdom,228.96
536580,22966,gingerbread man cookie cutter,12,12/1/2010 16:17,1.25,17690,United Kingdom,15
536581,85099B,jumbo bag red retrospot,200,12/1/2010 16:19,1.65,13777,United Kingdom,330
536582,21668,red stripe ceramic drawer knob,12,12/1/2010 16:21,1.25,12947,United Kingdom,15
536583,21156,retrospot childrens apron,120,12/1/2010 16:21,1.65,13777,United Kingdom,198
536584,84029E,red woolly hottie white heart.,384,12/1/2010 16:22,2.95,13777,United Kingdom,1132.8
536585,37449,ceramic cake stand + hanging cakes,2,12/1/2010 16:24,9.95,17460,United Kingdom,19.9
536586,22846,bread bin diner style red,8,12/1/2010 16:25,14.95,18229,United Kingdom,119.6
536587,37448,ceramic cake design spotted mug,12,12/1/2010 16:33,1.49,14142,United Kingdom,17.88
536588,22960,jam making set with jars,6,12/1/2010 16:49,4.25,17069,United Kingdom,25.5
536590,22969,homemade jam scented candles,12,12/1/2010 16:52,1.45,13065,United Kingdom,17.4
536591,21427,skulls storage box small,1,12/1/2010 16:57,2.1,14606,United Kingdom,2.1
536593,21524,doormat spotty home sweet home,2,12/1/2010 17:15,7.95,16835,United Kingdom,15.9
536594,21733,red hanging heart t-light holder,6,12/1/2010 17:22,2.95,15235,United Kingdom,17.7
536595,21877,home sweet home mug,1,12/1/2010 17:24,1.25,13576,United Kingdom,1.25
536597,22952,60 cake cases vintage christmas,4,12/1/2010 17:35,0.55,18011,United Kingdom,2.2
536598,21421,porcelain rose large,12,12/2/2010 7:48,1.25,13090,United Kingdom,15
536599,22968,rose cottage keepsake box,8,12/2/2010 7:49,8.5,15694,United Kingdom,68
536600,85123A,white hanging heart t-light holder,6,12/2/2010 8:32,2.55,17850,United Kingdom,15.3
536601,22632,hand warmer red polka dot,6,12/2/2010 8:33,1.85,17850,United Kingdom,11.1
536602,37370,retro coffee mugs assorted,6,12/2/2010 8:34,1.06,17850,United Kingdom,6.36
536603,22632,hand warmer red polka dot,6,12/2/2010 8:40,1.85,17850,United Kingdom,11.1
536604,84832,zinc willie winkie  candle stick,12,12/2/2010 8:43,0.85,14741,United Kingdom,10.2
536605,21364,peace small wood letters,2,12/2/2010 8:52,6.75,13715,United Kingdom,13.5
536606,20914,set/5 red retrospot lid glass bowls,-2,12/2/2010 9:10,2.95,14092,United Kingdom,-5.9
536607,72760B,vintage cream 3 basket cake stand,2,12/2/2010 9:29,9.95,17732,United Kingdom,19.9
536608,22863,soap dish brocante,6,12/2/2010 9:37,2.95,12855,United Kingdom,17.7
536609,85123A,white hanging heart t-light holder,6,12/2/2010 9:41,2.55,17850,United Kingdom,15.3
536610,22632,hand warmer red polka dot,6,12/2/2010 9:42,1.85,17850,United Kingdom,11.1
536611,22865,hand warmer owl design,12,12/2/2010 9:43,2.1,15752,United Kingdom,25.2
536612,85123A,white hanging heart t-light holder,6,12/2/2010 9:44,2.55,17850,United Kingdom,15.3
536613,22149,feltcraft 6 flower friends,6,12/2/2010 9:44,2.1,17855,United Kingdom,12.6
536614,22632,hand warmer red polka dot,6,12/2/2010 9:44,1.85,17850,United Kingdom,11.1
536615,22367,childrens apron spaceboy design,8,12/2/2010 10:09,1.95,14047,United Kingdom,15.6
536616,21137,black record cover frame,72,12/2/2010 10:10,3.39,17925,United Kingdom,244.08
536617,21356,toast its - fairy flower,12,12/2/2010 10:17,1.25,13941,United Kingdom,15
536618,20975,12 pencils small tube red retrospot,24,12/2/2010 10:17,0.65,17017,United Kingdom,15.6
536619,22960,jam making set with jars,12,12/2/2010 10:18,3.75,17017,United Kingdom,45
536620,22965,3 traditional biscuit cutters  set,6,12/2/2010 10:27,2.1,14135,United Kingdom,12.6
536621,22549,picture dominoes,24,12/2/2010 10:35,1.45,13108,United Kingdom,34.8
536622,22752,set 7 babushka nesting boxes,-2,12/2/2010 10:37,8.5,12471,Germany,-17
536623,21355,toast its - i love you,24,12/2/2010 10:39,1.25,15601,United Kingdom,30
536624,22676,french blue metal door sign 1,10,12/2/2010 10:45,1.25,13418,United Kingdom,12.5
536626,22965,3 traditional biscuit cutters  set,6,12/2/2010 10:46,2.1,13418,United Kingdom,12.6
536625,22839,3 tier cake tin green and cream,-2,12/2/2010 10:46,14.95,14766,United Kingdom,-29.9
536627,22927,green giant garden thermometer,2,12/2/2010 10:53,5.95,15658,United Kingdom,11.9
536628,85123A,white hanging heart t-light holder,6,12/2/2010 10:54,2.55,17850,United Kingdom,15.3
536629,22632,hand warmer red polka dot,6,12/2/2010 10:55,1.85,17850,United Kingdom,11.1
536630,85123A,white hanging heart t-light holder,6,12/2/2010 10:56,2.55,17850,United Kingdom,15.3
536631,22632,hand warmer red polka dot,6,12/2/2010 10:58,1.85,17850,United Kingdom,11.1
536632,21931,jumbo storage bag suki,10,12/2/2010 11:02,1.95,14388,United Kingdom,19.5
536633,22952,60 cake cases vintage christmas,24,12/2/2010 11:20,0.55,14901,United Kingdom,13.2
536634,22457,natural slate heart chalkboard,4,12/2/2010 11:21,2.95,18041,United Kingdom,11.8
536635,21429,red gingham rose jewellery box,16,12/2/2010 11:22,1.65,15955,United Kingdom,26.4
536636,22086,paper chain kit 50's christmas,36,12/2/2010 11:23,2.95,15070,United Kingdom,106.2
536637,22198,large popcorn holder,2,12/2/2010 11:35,1.65,18041,United Kingdom,3.3
536638,20992,jazz hearts purse notebook,12,12/2/2010 11:41,0.85,16244,United Kingdom,10.2
536639,22632,hand warmer red retrospot,12,12/2/2010 11:45,2.1,15111,United Kingdom,25.2
536641,22187,green christmas tree card holder,1,12/2/2010 11:46,4.25,12748,United Kingdom,4.25
536642,21463,mirrored disco ball,-1,12/2/2010 11:56,5.95,14390,United Kingdom,-5.95
536643,85136A,yellow shark helicopter,1,12/2/2010 11:57,7.95,14390,United Kingdom,7.95
536663,22867,hand warmer bird design,24,12/2/2010 12:07,2.1,16546,United Kingdom,50.4
536667,22601,christmas retrospot angel wood,24,12/2/2010 12:09,0.85,15260,United Kingdom,20.4
536670,22469,heart of wicker small,40,12/2/2010 12:09,1.45,15260,United Kingdom,58
536671,85061W,white jewelled heart decoration,24,12/2/2010 12:10,0.85,13305,United Kingdom,20.4
536672,22812,pack 3 boxes christmas pannetone,24,12/2/2010 12:10,1.95,14491,United Kingdom,46.8
536673,21014,swiss chalet tree decoration,60,12/2/2010 12:11,0.85,14060,United Kingdom,51
536674,21034,rex cash+carry jumbo shopper,5,12/2/2010 12:16,0.95,15923,United Kingdom,4.75
536676,84846A,scented candle in digitalis tin,6,12/2/2010 12:18,2.1,16752,United Kingdom,12.6
536681,84406B,cream cupid hearts coat hanger,1,12/2/2010 12:22,3.25,17287,United Kingdom,3.25
536685,84029E,red woolly hottie white heart.,8,12/2/2010 12:23,3.39,17850,United Kingdom,27.12
536688,22632,hand warmer red polka dot,6,12/2/2010 12:24,1.85,17850,United Kingdom,11.1
536690,85123A,white hanging heart t-light holder,6,12/2/2010 12:25,2.55,17850,United Kingdom,15.3
536693,22632,hand warmer red polka dot,6,12/2/2010 12:26,1.85,17850,United Kingdom,11.1
536698,21731,red toadstool led night light,12,12/2/2010 12:28,1.65,15363,United Kingdom,19.8
536707,37495,fairy cake birthday candle set,4,12/2/2010 12:33,3.75,12915,United Kingdom,15
536732,21238,red retrospot cup,8,12/2/2010 12:47,0.85,15544,United Kingdom,6.8
536733,21206,strawberry honeycomb  garland,12,12/2/2010 12:50,1.65,15738,United Kingdom,19.8
536734,22780,light garland butterfiles pink,-4,12/2/2010 12:50,4.25,16042,United Kingdom,-17
536735,22659,lunch box i love london,128,12/2/2010 12:58,1.65,17381,United Kingdom,211.2
536736,21703,bag 125g swirly marbles,192,12/2/2010 12:59,0.42,17381,United Kingdom,80.64
536737,22798,antique glass dressing table pot,-2,12/2/2010 13:05,2.95,15922,United Kingdom,-5.9
536738,22806,set of 6 t-lights wedding cake,6,12/2/2010 13:06,2.95,15827,United Kingdom,17.7
536739,22666,recipe box pantry yellow design,6,12/2/2010 13:08,2.95,14180,United Kingdom,17.7
536740,22963,jam jar with green lid,12,12/2/2010 13:08,0.85,15827,United Kingdom,10.2
536741,17090D,vanilla incense 40 cones in tin,6,12/2/2010 13:11,1.25,13117,United Kingdom,7.5
536742,47504H,english rose spirit level,1,12/2/2010 13:14,1.95,16916,United Kingdom,1.95
536743,22045,spaceboy gift wrap,25,12/2/2010 13:32,0.42,17964,United Kingdom,10.5
536744,22898,childrens apron apples design,25,12/2/2010 13:36,1.95,14466,United Kingdom,48.75
536745,22738,ribbon reel snowy village,30,12/2/2010 13:38,1.65,17235,United Kingdom,49.5
536746,22768,family photo frame cornice,2,12/2/2010 13:39,9.95,16510,United Kingdom,19.9
536747,16156S,wrap pink fairy cakes,25,12/2/2010 13:44,0.42,17802,United Kingdom,10.5
536748,84945,multi colour silver t-light holder,12,12/2/2010 13:45,0.85,15107,United Kingdom,10.2
536749,84029G,knitted union flag hot water bottle,1,12/2/2010 13:49,3.75,17976,United Kingdom,3.75
536750,85123A,white hanging heart t-light holder,12,12/2/2010 14:04,2.55,17850,United Kingdom,30.6
536751,22632,hand warmer red polka dot,6,12/2/2010 14:05,1.85,17850,United Kingdom,11.1
536752,85123A,white hanging heart t-light holder,6,12/2/2010 14:06,2.55,17850,United Kingdom,15.3
536753,22632,hand warmer red polka dot,6,12/2/2010 14:07,1.85,17850,United Kingdom,11.1
536754,22988,soldiers egg cup,2,12/2/2010 14:09,1.25,14449,United Kingdom,2.5
536757,84347,rotating silver angels t-light hldr,-9360,12/2/2010 14:23,0.03,15838,United Kingdom,-280.8
536758,21314,small glass heart trinket pot,-1,12/2/2010 14:25,2.1,13767,United Kingdom,-2.1
536759,48111,doormat 3 smiley cats,4,12/2/2010 14:26,7.95,16781,United Kingdom,31.8
536760,22175,pink owl soft toy,-1,12/2/2010 14:29,2.95,17547,United Kingdom,-2.95
536761,21116,owl doorstop,3,12/2/2010 14:30,4.95,13491,United Kingdom,14.85
536762,20972,pink cream felt craft trinket box,12,12/2/2010 14:40,1.25,16186,United Kingdom,15
536763,85114A,black enchanted forest placemat,120,12/2/2010 14:42,1.45,17685,United Kingdom,174
536769,22776,sweetheart cakestand 3 tier,4,12/2/2010 14:47,9.95,17581,United Kingdom,39.8
536771,22558,clothes pegs retrospot pack 24,12,12/2/2010 14:49,1.49,17581,United Kingdom,17.88
536777,20975,12 pencils small tube red retrospot,24,12/2/2010 15:00,0.65,15732,United Kingdom,15.6
536778,21422,porcelain rose small,16,12/2/2010 15:03,0.85,13138,United Kingdom,13.6
536779,BANK CHARGES,bank charges,1,12/2/2010 15:08,15,15823,United Kingdom,15
536781,22865,hand warmer owl design,24,12/2/2010 15:14,2.1,17460,United Kingdom,50.4
536782,22111,scottie dog hot water bottle,3,12/2/2010 15:18,4.95,17567,United Kingdom,14.85
536783,22530,magic drawing slate dolly girl,60,12/2/2010 15:19,0.36,15061,United Kingdom,21.6
536784,85116,black candelabra t-light holder,24,12/2/2010 15:20,1.25,15061,United Kingdom,30
536785,84946,antique silver tea glass etched,216,12/2/2010 15:22,1.06,15061,United Kingdom,228.96
536786,85178,victorian sewing kit,96,12/2/2010 15:23,1.25,15061,United Kingdom,120
536787,85123A,white hanging heart t-light holder,6,12/2/2010 15:24,2.55,17850,United Kingdom,15.3
536788,22558,clothes pegs retrospot pack 24,60,12/2/2010 15:25,1.25,15061,United Kingdom,75
536789,22633,hand warmer union jack,6,12/2/2010 15:25,1.85,17850,United Kingdom,11.1
536790,85123A,white hanging heart t-light holder,12,12/2/2010 15:26,2.95,17850,United Kingdom,35.4
536791,22632,hand warmer red polka dot,12,12/2/2010 15:27,1.85,17850,United Kingdom,22.2
536792,22558,clothes pegs retrospot pack 24,24,12/2/2010 15:28,1.25,15061,United Kingdom,30
536793,22727,alarm clock bakelike red,4,12/2/2010 15:39,3.75,16203,United Kingdom,15
536794,21314,small glass heart trinket pot,24,12/2/2010 15:40,2.1,13767,United Kingdom,50.4
536795,22086,paper chain kit 50's christmas,40,12/2/2010 15:40,2.55,15640,United Kingdom,102
536796,22376,airline bag vintage jet set white,1,12/2/2010 15:46,4.25,15574,United Kingdom,4.25
536797,90002D,flower burst silver ring crystal,4,12/2/2010 15:49,3.75,16770,United Kingdom,15
536798,22427,enamel flower jug cream,1,12/2/2010 15:55,5.95,17838,United Kingdom,5.95
536799,21931,jumbo storage bag suki,3,12/2/2010 16:00,1.95,17228,United Kingdom,5.85
536800,22960,jam making set with jars,6,12/2/2010 16:12,4.25,14829,United Kingdom,25.5
536802,22735,ribbon reel socks and mittens,10,12/2/2010 16:29,1.65,17412,United Kingdom,16.5
536803,22113,grey heart hot water bottle,6,12/2/2010 16:33,3.75,14911,EIRE,22.5
536804,21745,gaolers keys decorative garden,24,12/2/2010 16:34,3.39,14031,United Kingdom,81.36
536805,21788,kids rain mac blue,24,12/2/2010 16:38,0.85,14775,United Kingdom,20.4
536806,21803,christmas tree star decoration,36,12/2/2010 16:42,0.42,12971,United Kingdom,15.12
536807,22501,picnic basket wicker large,-2,12/2/2010 16:45,9.95,15834,United Kingdom,-19.9
536808,22423,regency cakestand 3 tier,1,12/2/2010 16:46,12.75,17659,United Kingdom,12.75
536809,84950,assorted colour t-light holder,1824,12/2/2010 16:48,0.55,15299,United Kingdom,1003.2
536810,21833,camouflage led torch,204,12/2/2010 16:50,1.49,15299,United Kingdom,303.96
536811,22275,weekend bag vintage rose paisley,69,12/2/2010 16:51,7.65,15299,United Kingdom,527.85
536812,22578,wooden star christmas scandinavian,-36,12/2/2010 16:58,0.85,16546,United Kingdom,-30.6
536813,37450,ceramic cake bowl + hanging cakes,6,12/2/2010 16:59,2.95,15646,United Kingdom,17.7
536814,21527,red retrospot traditional teapot,-2,12/2/2010 17:03,7.95,13958,United Kingdom,-15.9
536815,85175,cacti t-light candles,-1,12/2/2010 17:05,0.42,14443,United Kingdom,-0.42
536816,21129,silver fishing gnome,-2,12/2/2010 17:06,6.95,14443,United Kingdom,-13.9
536817,22187,green christmas tree card holder,-1,12/2/2010 17:08,4.25,14156,EIRE,-4.25
536818,84947,antique silver tea glass engraved,-1,12/2/2010 17:09,1.25,16995,United Kingdom,-1.25
536819,22427,enamel flower jug cream,3,12/2/2010 17:12,5.95,13402,United Kingdom,17.85
536820,22877,number tile cottage garden 9,-1,12/2/2010 17:14,1.95,18168,United Kingdom,-1.95
536821,22630,dolly girl lunch box,1,12/2/2010 17:17,1.95,17757,United Kingdom,1.95
536822,22847,bread bin diner style ivory,-2,12/2/2010 17:19,16.95,14625,United Kingdom,-33.9
536823,22508,doorstop retrospot heart,4,12/2/2010 17:22,3.75,13011,United Kingdom,15
536824,85123A,white hanging heart t-light holder,160,12/2/2010 17:24,2.55,13798,United Kingdom,408
536825,22617,baking set spaceboy design,-1,12/2/2010 17:27,4.95,15384,United Kingdom,-4.95
536826,35004B,set of 3 black flying ducks,-2,12/2/2010 17:30,4.65,17924,United Kingdom,-9.3
536827,21527,red retrospot traditional teapot,-3,12/2/2010 17:31,6.95,13408,United Kingdom,-20.85
536828,22832,brocante shelf with hooks,-1,12/2/2010 17:35,10.75,14264,United Kingdom,-10.75
536829,71477,colour glass. star t-light holder,-1,12/2/2010 17:36,3.25,13295,United Kingdom,-3.25
536830,84077,world war 2 gliders asstd designs,2880,12/2/2010 17:38,0.18,16754,United Kingdom,518.4
536831,84880,white wire egg holder,12,12/2/2010 17:40,4.95,16029,United Kingdom,59.4
536832,21927,blue/cream stripe cushion cover,24,12/2/2010 17:41,1.25,16634,United Kingdom,30
536833,85123A,white hanging heart t-light holder,6,12/2/2010 17:48,2.95,18239,United Kingdom,17.7
536834,21111,"swiss roll towel, chocolate  spots",12,12/2/2010 17:51,2.95,14576,United Kingdom,35.4
536835,22655,vintage red kitchen cabinet,1,12/2/2010 18:06,295,13145,United Kingdom,295
536836,21231,sweetheart ceramic trinket box,20,12/2/2010 18:08,1.25,18168,United Kingdom,25
536837,82486,wood s/3 cabinet ant white finish,2,12/2/2010 18:15,7.95,14395,United Kingdom,15.9
536838,15036,assorted colours silk fan,24,12/2/2010 18:23,0.75,14865,United Kingdom,18
536839,84077,world war 2 gliders asstd designs,288,12/2/2010 18:25,0.21,15093,United Kingdom,60.48
536840,22961,jam making set printed,12,12/2/2010 18:27,1.45,12738,Germany,17.4
536841,22766,photo frame cornice,8,12/2/2010 18:27,2.95,16150,United Kingdom,23.6
536842,20726,lunch bag woodland,10,12/2/2010 18:45,1.65,17552,United Kingdom,16.5
536843,22966,gingerbread man cookie cutter,12,12/2/2010 18:46,1.25,17552,United Kingdom,15
536844,22502,picnic basket wicker small,32,12/2/2010 18:49,4.95,14236,United Kingdom,158.4
536845,84997B,red 3 piece retrospot cutlery set,1,12/2/2010 19:18,3.75,17961,United Kingdom,3.75
536846,22469,heart of wicker small,2,12/2/2010 19:59,1.65,14573,United Kingdom,3.3
536847,22155,star decoration rustic,48,12/3/2010 9:31,0.42,17135,United Kingdom,20.16
